ensgene,symbol
ENSG00000002079,MYH16
ENSG00000006788,MYH13
ENSG00000078814,MYH7B
ENSG00000092054,MYH7
ENSG00000100345,MYH9.1
ENSG00000105357,MYH14
ENSG00000109061,MYH1
ENSG00000109063,MYH3
ENSG00000125414,MYH2
ENSG00000133020,MYH8
ENSG00000133026,MYH10
ENSG00000133392,MYH11
ENSG00000144821,MYH15
ENSG00000197616,MYH6
ENSG00000264424,MYH4
ENSG00000272975,MYHAS
ENSG00000276480,MYH11.1
LRG_384,MYH7.1
LRG_389,MYH6.1
LRG_567,MYH9
